2026-05-14 00:51:06.882 | INFO | Main:main | 答题网址: https://onlineexamh5new.zhihuishu.com/stuExamWeb.html#/webExamList/dohomework/409078/wnkY1axr/eGrB8v9w/1000011088/1847/0
2026-05-14 00:51:08.029 | INFO | webdriverConfig:_load_cookies | 准备从 D:\desktop\工具\auto-zhihuishu\tools\edgedriver_win64\cookies.json 加载 Cookie，目标域：https://onlineweb.zhihuishu.com/
2026-05-14 00:51:12.887 | INFO | webdriverConfig:_load_cookies | 已加载 10/10 条 Cookie，刷新页面以应用登录态。
2026-05-14 00:51:14.423 | INFO | DeepSeek:__init__ | DeepSeek 初始化完成，模型：deepseek-chat
2026-05-14 00:51:15.434 | INFO | WebEdgeService:run_exam | 已打开答题网址: https://onlineexamh5new.zhihuishu.com/stuExamWeb.html#/webExamList/dohomework/409078/wnkY1axr/eGrB8v9w/1000011088/1847/0
2026-05-14 00:51:17.462 | INFO | WebEdgeService:_handle_login | 已登录，继续。
2026-05-14 00:51:22.470 | INFO | WebEdgeService:run_exam | 开始答题流程...
2026-05-14 00:51:22.470 | INFO | WebEdgeService:run_exam | --- 第 1 题 ---
2026-05-14 00:51:32.598 | ERROR | WebEdgeService:_solve_current_question | 等待题目区域超时。
2026-05-14 00:51:32.599 | WARNING | WebEdgeService:run_exam | 第 1 题解答失败，尝试跳过。
2026-05-14 00:51:32.611 | INFO | WebEdgeService:_go_next_question | 已触发下一题按钮，等待页面切换...
2026-05-14 00:51:32.616 | INFO | WebEdgeService:_go_next_question | 页面已切换到下一题。
2026-05-14 00:51:34.120 | INFO | WebEdgeService:run_exam | --- 第 2 题 ---
2026-05-14 00:51:44.227 | ERROR | WebEdgeService:_solve_current_question | 等待题目区域超时。
2026-05-14 00:51:44.227 | WARNING | WebEdgeService:run_exam | 第 2 题解答失败，尝试跳过。
2026-05-14 00:51:44.237 | INFO | WebEdgeService:_go_next_question | 已触发下一题按钮，等待页面切换...
2026-05-14 00:51:52.320 | WARNING | WebEdgeService:_go_next_question | 等待页面切换超时，尝试强制选中答案后再次点击...
2026-05-14 00:51:55.366 | INFO | WebEdgeService:run_exam | --- 第 3 题 ---
2026-05-14 00:52:05.472 | ERROR | WebEdgeService:_solve_current_question | 等待题目区域超时。
2026-05-14 00:52:05.474 | WARNING | WebEdgeService:run_exam | 第 3 题解答失败，尝试跳过。
2026-05-14 00:52:05.481 | INFO | WebEdgeService:_go_next_question | 已触发下一题按钮，等待页面切换...
2026-05-14 00:52:13.575 | WARNING | WebEdgeService:_go_next_question | 等待页面切换超时，尝试强制选中答案后再次点击...
2026-05-14 00:52:16.619 | INFO | WebEdgeService:run_exam | --- 第 4 题 ---
